administration_date,fips,locality,health_district,facility_type,vaccine_manufacturer,dose_number,vaccine_doses_administered,Population,region
2021-04-16,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,434,0,other
2021-04-16,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,227,0,other
2021-04-16,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,188,0,other
2021-04-16,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,263,0,other
2021-04-16,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,380,0,other
2021-04-16,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,298,0,other
2021-04-16,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,340,0,other
2021-04-16,Out of State,Out of State,Out of State,Hospitals,Moderna,2,37,0,other
2021-04-16,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,102,0,other
2021-04-16,Out of State,Out of State,Out of State,Hospitals,Moderna,1,40,0,other
2021-04-16,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,286,0,other
2021-04-16,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,314,0,other
2021-04-16,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,207,0,other
2021-04-16,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,38,0,other
2021-04-16,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,94,0,other
2021-04-16,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,52,0,other
2021-04-16,Out of State,Out of State,Out of State,Other Community Health Providers,Non-Specified,1,2,0,other
2021-04-16,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,97,0,other
2021-04-16,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,177,0,other
2021-04-16,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,148,0,other
2021-04-16,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,32,0,other
2021-04-16,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,262,0,other
2021-04-16,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,52,0,other
2021-04-16,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,235,0,other
2021-04-16,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,203,0,other
2021-04-16,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,279,0,other
2021-04-16,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,243,0,other
2021-04-16,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,80,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,212,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,198,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,1,36,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,158,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,2,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,196,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,231,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,118,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,118,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,181,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,196,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,293,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,149,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,347,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,334,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,170,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,261,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,243,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,77,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,110,0,other
2021-04-15,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,623,0,other
2021-04-15,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,299,0,other
2021-04-15,Out of State,Out of State,Out of State,Hospitals,Moderna,2,26,0,other
2021-04-15,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,473,0,other
2021-04-15,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,67,0,other
2021-04-15,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,116,0,other
2021-04-15,Out of State,Out of State,Out of State,Other Community Health Providers,Non-Specified,1,1,0,other
2021-04-15,Out of State,Out of State,Out of State,Medical Practices,Non-Specified,1,1,0,other
2021-04-15,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,53,0,other
2021-04-15,Out of State,Out of State,Out of State,Medical Practices,J&J,1,1,0,other
2021-04-15,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,70,0,other
2021-04-15,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,139,0,other
2021-04-15,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,108,0,other
2021-04-15,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,131,0,other
2021-04-15,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,158,0,other
2021-04-15,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,62,0,other
2021-04-15,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,1,0,other
2021-04-15,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,109,0,other
2021-04-15,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,272,0,other
2021-04-15,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,1,0,other
2021-04-15,Out of State,Out of State,Out of State,Hospitals,Moderna,1,32,0,other
2021-04-15,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,32,0,other
2021-04-15,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,467,0,other
2021-04-15,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,304,0,other
2021-04-15,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,34,0,other
2021-04-15,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,352,0,other
2021-04-15,Out of State,Out of State,Out of State,Pharmacies,J&J,1,1,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,270,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,1,64,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,168,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,150,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,158,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Medical Practices,Non-Specified,1,1,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,262,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,273,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Non-Specified,1,1,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,224,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,325,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,31,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,152,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,233,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,227,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,373,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,261,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,180,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,420,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,211,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,3,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,144,0,other
2021-04-14,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,183,0,other
2021-04-14,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,63,0,other
2021-04-14,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,211,0,other
2021-04-14,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,304,0,other
2021-04-14,Out of State,Out of State,Out of State,Pharmacies,J&J,1,2,0,other
2021-04-14,Out of State,Out of State,Out of State,Other Community Health Providers,Non-Specified,1,1,0,other
2021-04-14,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,211,0,other
2021-04-14,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,95,0,other
2021-04-14,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,54,0,other
2021-04-14,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,117,0,other
2021-04-14,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,577,0,other
2021-04-14,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,205,0,other
2021-04-14,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,208,0,other
2021-04-14,Out of State,Out of State,Out of State,Hospitals,Moderna,2,16,0,other
2021-04-14,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,93,0,other
2021-04-14,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,118,0,other
2021-04-14,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,100,0,other
2021-04-14,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,352,0,other
2021-04-14,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,75,0,other
2021-04-14,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,105,0,other
2021-04-14,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,233,0,other
2021-04-14,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,89,0,other
2021-04-14,Out of State,Out of State,Out of State,Hospitals,Moderna,1,41,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,184,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,351,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,174,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,20,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,56,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,177,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,80,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,118,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,5,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,77,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,367,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,189,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,257,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,257,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,230,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,2,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,267,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,199,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,182,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,157,0,other
2021-04-13,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,178,0,other
2021-04-13,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,50,0,other
2021-04-13,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,219,0,other
2021-04-13,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,13,0,other
2021-04-13,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,181,0,other
2021-04-13,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,125,0,other
2021-04-13,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,198,0,other
2021-04-13,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,138,0,other
2021-04-13,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,28,0,other
2021-04-13,Out of State,Out of State,Out of State,Hospitals,Moderna,1,3,0,other
2021-04-13,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,60,0,other
2021-04-13,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,60,0,other
2021-04-13,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,194,0,other
2021-04-13,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,196,0,other
2021-04-13,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,174,0,other
2021-04-13,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,95,0,other
2021-04-13,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,325,0,other
2021-04-13,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,98,0,other
2021-04-13,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,105,0,other
2021-04-13,Out of State,Out of State,Out of State,Pharmacies,J&J,1,35,0,other
2021-04-13,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,163,0,other
2021-04-13,Out of State,Out of State,Out of State,Hospitals,Moderna,2,5,0,other
2021-04-13,Out of State,Out of State,Out of State,Medical Practices,J&J,1,3,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,4,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,170,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,75,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,4,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,133,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,104,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,85,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,314,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,197,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,29,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,213,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,126,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,133,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,181,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,197,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,135,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,209,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,121,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,153,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,152,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,236,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Medical Practices,Non-Specified,1,1,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,131,0,other
2021-04-12,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,38,0,other
2021-04-12,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,29,0,other
2021-04-12,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,125,0,other
2021-04-12,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,36,0,other
2021-04-12,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,256,0,other
2021-04-12,Out of State,Out of State,Out of State,Hospitals,J&J,1,2,0,other
2021-04-12,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,34,0,other
2021-04-12,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,134,0,other
2021-04-12,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,55,0,other
2021-04-12,Out of State,Out of State,Out of State,Medical Practices,J&J,1,19,0,other
2021-04-12,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,26,0,other
2021-04-12,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,124,0,other
2021-04-12,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,167,0,other
2021-04-12,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,54,0,other
2021-04-12,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,66,0,other
2021-04-12,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,191,0,other
2021-04-12,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,74,0,other
2021-04-12,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,129,0,other
2021-04-12,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,184,0,other
2021-04-12,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,62,0,other
2021-04-12,Out of State,Out of State,Out of State,Hospitals,Moderna,2,8,0,other
2021-04-12,Out of State,Out of State,Out of State,Pharmacies,J&J,1,282,0,other
2021-04-12,Out of State,Out of State,Out of State,Hospitals,Moderna,1,2,0,other
2021-04-12,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,9,0,other
2021-04-12,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,185,0,other
2021-04-12,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,329,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,65,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,77,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,4,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,18,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,167,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,29,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,19,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,91,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,72,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,55,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,12,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,1,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,66,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,33,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,40,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,142,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,66,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,114,0,other
2021-04-11,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,104,0,other
2021-04-11,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,133,0,other
2021-04-11,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,18,0,other
2021-04-11,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,171,0,other
2021-04-11,Out of State,Out of State,Out of State,Pharmacies,J&J,1,161,0,other
2021-04-11,Out of State,Out of State,Out of State,Hospitals,J&J,1,1,0,other
2021-04-11,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,5,0,other
2021-04-11,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,25,0,other
2021-04-11,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,157,0,other
2021-04-11,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,30,0,other
2021-04-11,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,35,0,other
2021-04-11,Out of State,Out of State,Out of State,Medical Practices,J&J,1,2,0,other
2021-04-11,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,36,0,other
2021-04-11,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,29,0,other
2021-04-11,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,95,0,other
2021-04-11,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,177,0,other
2021-04-11,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,3,0,other
2021-04-11,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,1,0,other
2021-04-11,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,17,0,other
2021-04-11,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,9,0,other
2021-04-11,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,26,0,other
2021-04-11,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,2,0,other
2021-04-11,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,15,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,2,84,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,1,177,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,148,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,1,30,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,2,324,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,45,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,216,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,1,38,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,2,210,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Hospitals,J&J,1,11,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,118,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,676,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,1,181,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,301,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Local Health Departments,Moderna,2,56,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Hospitals,Pfizer,2,267,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,265,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,2,295,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,156,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,88,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Moderna,1,185,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,11,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Other Community Health Providers,J&J,1,13,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Pharmacies,Pfizer,2,138,0,other
2021-04-10,Not Reported,Not Reported,Not Reported,Medical Practices,J&J,1,42,0,other
2021-04-10,Out of State,Out of State,Out of State,Pharmacies,Moderna,1,47,0,other
2021-04-10,Out of State,Out of State,Out of State,Pharmacies,J&J,1,306,0,other
2021-04-10,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,2,42,0,other
2021-04-10,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,2,30,0,other
2021-04-10,Out of State,Out of State,Out of State,Hospitals,Pfizer,2,47,0,other
2021-04-10,Out of State,Out of State,Out of State,Local Health Departments,Moderna,2,45,0,other
2021-04-10,Out of State,Out of State,Out of State,Local Health Departments,Moderna,1,17,0,other
2021-04-10,Out of State,Out of State,Out of State,Medical Practices,J&J,1,16,0,other
2021-04-10,Out of State,Out of State,Out of State,Pharmacies,Pfizer,2,165,0,other
2021-04-10,Out of State,Out of State,Out of State,Medical Practices,Pfizer,1,59,0,other
2021-04-10,Out of State,Out of State,Out of State,Other Community Health Providers,J&J,1,25,0,other
2021-04-10,Out of State,Out of State,Out of State,Pharmacies,Moderna,2,138,0,other
2021-04-10,Out of State,Out of State,Out of State,Local Health Departments,J&J,1,111,0,other
2021-04-10,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,2,164,0,other
2021-04-10,Out of State,Out of State,Out of State,Medical Practices,Moderna,1,27,0,other
2021-04-10,Out of State,Out of State,Out of State,Medical Practices,Pfizer,2,193,0,other
2021-04-10,Out of State,Out of State,Out of State,Other Community Health Providers,Pfizer,1,117,0,other
2021-04-10,Out of State,Out of State,Out of State,Hospitals,Pfizer,1,56,0,other
2021-04-10,Out of State,Out of State,Out of State,Hospitals,Moderna,1,6,0,other
2021-04-10,Out of State,Out of State,Out of State,Hospitals,Moderna,2,15,0,other
2021-04-10,Out of State,Out of State,Out of State,Hospitals,J&J,1,9,0,other
2021-04-10,Out of State,Out of State,Out of State,Medical Practices,Moderna,2,29,0,other
2021-04-10,Out of State,Out of State,Out of State,Local Health Departments,Pfizer,1,139,0,other
2021-04-10,Out of State,Out of State,Out of State,Pharmacies,Pfizer,1,302,0,other
2021-04-10,Out of State,Out of State,Out of State,Other Community Health Providers,Moderna,1,70,0,other
2021-04-09,Not Reported,Not Reported,Not Reported,Medical Practices,Pfizer,1,235,0,other
2021-04-09,Not Reported,Not Reported,Not Reported,Pharmacies,Moderna,1,304,0,other
2021-04-09,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,2,39,0,other
2021-04-09,Not Reported,Not Reported,Not Reported,Local Health Departments,Pfizer,1,307,0,other
2021-04-09,Not Reported,Not Reported,Not Reported,Pharmacies,J&J,1,266,0,other
2021-04-09,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,1,293,0,other
2021-04-09,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,2,213,0,other
2021-04-09,Not Reported,Not Reported,Not Reported,Hospitals,Moderna,1,86,0,other
2021-04-09,Not Reported,Not Reported,Not Reported,Local Health Departments,J&J,1,144,0,other
2021-04-09,Not Reported,Not Reported,Not Reported,Other Community Health Providers,Pfizer,2,155,0,other
